v1,v2,Phrases
ham,0,NavyaVerma @oksbi
ham,0,rahul @oksbi
ham,0,KritikaSingh @oksbi
ham,0,AnanyaBhat @oksbi
ham,0,MyraSahu @kbl
ham,0,KabirKumar @okhdfc
ham,0,MiraChoudhury @okicici
ham,0,rohnr @idbi
ham,0,YugKapoor @oksbi
ham,0,AhaanSharma @idbi
ham,0,AryanGupta @kbl
ham,0,PrishaSharma @okhdfc
ham,0,ShanayaPatel @oksbi
ham,0,AishaChoudhury @okhdfc
ham,0,AbhinavGupta @kbl
ham,0,BhavyaJain @okicici
ham,0,rjk @okybl
ham,0,AmairaSingh @idbi
ham,0,AvyaanBansal @okybl
ham,0,AmritaThakur @kbl
ham,0,vdty @okicici
spam,1,SamarVerma @okybl
ham,0,RachitVerma @idbi
spam,1,KabirKumar @kbl
ham,0,AishaChoudhury @okybl
ham,0,ChaitanyaShah @kbl
ham,0,AnviKapoor @okaxl
ham,0,PrishaSharma @idbi
ham,0,ShreyaKhanna @okaxl
ham,0,KairaKapoor @okhdfc
ham,0,VihaanSharma @oksbi
ham,0,AryanGupta @okhdfc
ham,0,RuhiMehra @okaxl
ham,0,SohamKapoor @okaxl
ham,0,SaanviMehta @idbi
ham,0,AbhinavGupta @kbl
ham,0,SwaraSingh @oksbi
ham,0,RiyaYadav @okybl
ham,0,IshanSharma @okicici
ham,0,AryanGupta @idbi
ham,0,VanyaAgarwal @okhdfc
spam,1,KritikaSingh @okybl
ham,0,TaraChoudhury @okaxl
ham,0,SnehaThakur @oksbi
spam,1,AaryanJain @okicici
ham,0,AdvaitSingh @kbl
ham,0,AishaChoudhury @kbl
spam,1,NavyaVerma @okicici
spam,1,AnikaYadav @idbi
ham,0,BhavyaJain @okaxl
spam,1,AaravKumar @okhdfc
ham,0,IshaniDesai @okaxl
ham,0,AryanGupta @okicici
ham,0,AhaanSharma @oksbi
ham,0,MyraSahu @okaxl
ham,0,VivaanMehta @idbi
ham,0,BhavyaJain @kbl
ham,0,AnikaYadav @okicici
ham,0,AaryanJain @okicici
ham,0,BhavyaJain @okaxl
ham,0,KairaKapoor @idbi
spam,1,AaravKumar @okicici
spam,1,AmitJoshi @idbi
ham,0,skylarShr @oksbi
ham,0,RishaanSharma @okaxl
ham,0,IshaniDesai @kbl
spam,1,NavyaVerma @kbl
ham,0,IshanSharma @okybl
ham,0,ArnavSingh @kbl
ham,0,VihaanSharma @okicici
ham,0,KairaKapoor @okybl
ham,0,RiyaYadav @okicici
ham,0,ShivanshKumar @okicici
ham,0,BhavyaJain @okicici
spam,1,rahul @okaxl
ham,0,AdvaitSingh @okaxl
ham,0,rjk @idbi
ham,0,AhaanSharma @kbl
ham,0,SiyaShah @kbl
ham,0,ShivanshKumar @okybl
ham,0,rjk @oksbi
ham,0,happysng @kbl
ham,0,SarthakGupta @okaxl
ham,0,RuhiMehra @okicici
ham,0,AnkitSharma @oksbi
ham,0,SiyaShah @idbi
spam,1,KabirKumar @kbl
spam,1,AmitJoshi @okaxl
ham,0,NehaThakur @okhdfc
ham,0,NavyaVerma @okybl
ham,0,SuhaniYadav @okaxl
spam,1,IshitaChauhan @okaxl
spam,1,skylarShr @okybl
ham,0,BhavyaJain @okicici
spam,1,ShreyaKhanna @oksbi
ham,0,DivyaAgarwal @okicici
ham,0,AnkitSharma @idbi
ham,0,AmairaSingh @oksbi
ham,0,AarohiShah @okaxl
ham,0,TaraChoudhury @okicici
ham,0,AmairaSingh @okybl
ham,0,RiaTiwari @idbi
ham,0,AnviKapoor @okicici
ham,0,DivyaAgarwal @idbi
ham,0,PranavGupta @okhdfc
ham,0,AnkitSharma @oksbi
ham,0,SaanviMehta @okaxl
ham,0,IshitaChauhan @oksbi
ham,0,AkshayVerma @oksbi
ham,0,RiyaYadav @okicici
ham,0,AnikaYadav @kbl
ham,0,rjk @kbl
ham,0,AnviKapoor @okicici
ham,0,AvyaanBansal @kbl
ham,0,IshikaReddy @idbi
spam,1,SwaraSingh @oksbi
ham,0,happysng @oksbi
ham,0,IshikaReddy @oksbi
spam,1,AarohiShah @okaxl
ham,0,IshanSharma @okicici
ham,0,RachitVerma @okaxl
ham,0,SamarVerma @oksbi
ham,0,YashJoshi @kbl
ham,0,IshikaReddy @idbi
ham,0,RahulKumar @okhdfc
ham,0,AashviPatel @okaxl
ham,0,AnviKapoor @okicici
ham,0,DhruvMehta @kbl
ham,0,sunnysng @idbi
ham,0,AnikaYadav @okhdfc
ham,0,DhruvMehta @okybl
ham,0,AarohiShah @okaxl
ham,0,TrishaTiwari @kbl
ham,0,BhavyaJain @idbi
ham,0,DishaKhanna @oksbi
ham,0,MohitJain @okhdfc
ham,0,VihaanSharma @idbi
ham,0,IshanSharma @okybl
ham,0,ShreyaKhanna @okybl
ham,0,SuhaniYadav @kbl
ham,0,AhaanSharma @okhdfc
ham,0,KrishaPatel @idbi
ham,0,KrishaPatel @okaxl
ham,0,ShanayaPatel @kbl
ham,0,IshaniDesai @okaxl
ham,0,AmritaThakur @kbl
ham,0,AdvaitSingh @okybl
ham,0,AryanGupta @okhdfc
ham,0,AhaanSharma @kbl
ham,0,MiraChoudhury @oksbi
ham,0,VivaanMehta @kbl
ham,0,NehaThakur @okybl
spam,1,RuhiMehra @okicici
ham,0,BhavyaJain @kbl
spam,1,AnkitSharma @kbl
ham,0,VivaanMehta @oksbi
ham,0,AashviPatel @okybl
ham,0,VihaanSharma @kbl
ham,0,YugKapoor @okybl
ham,0,AashviPatel @kbl
ham,0,KritikaSingh @oksbi
ham,0,TaraChoudhury @okicici
spam,1,vdty @okybl
ham,0,AvaniPatel @okicici
ham,0,vdty @okybl
ham,0,IshitaChauhan @idbi
ham,0,ShivanshKumar @idbi
spam,1,AnayaMishra @okicici
ham,0,RuhanBansal @okybl
ham,0,SwaraSingh @kbl
ham,0,SiyaShah @idbi
ham,0,AnikaYadav @okhdfc
ham,0,VivaanMehta @kbl
ham,0,AishaChoudhury @okybl
ham,0,RachitVerma @okaxl
ham,0,AyushKumar @kbl
ham,0,ShreyaKhanna @okhdfc
spam,1,KritikaSingh @okybl
ham,0,AashviPatel @okaxl
ham,0,AnikaYadav @okhdfc
ham,0,AnayaMishra @okicici
ham,0,rachelGreen @okybl
ham,0,AhaanSharma @kbl
ham,0,vdty @idbi
ham,0,MohitJain @oksbi
ham,0,VivaanMehta @okybl
spam,1,AaryanJain @idbi
ham,0,IshikaReddy @idbi
ham,0,DhruvMehta @idbi
ham,0,DishaKhanna @okicici
ham,0,VanyaAgarwal @idbi
spam,1,BhavyaJain @idbi
ham,0,sunnysng @okybl
ham,0,RuhiMehra @okicici
ham,0,RahulKumar @oksbi
spam,1,AarohiShah @idbi
ham,0,PrishaSharma @okybl
spam,1,happysng @idbi
ham,0,DishaKhanna @okicici
ham,0,AvyaanBansal @okaxl
spam,1,rachelGreen @okaxl
ham,0,AryanGupta @kbl
ham,0,RahulKumar @kbl
ham,0,IshaniDesai @okaxl
ham,0,AkshayVerma @idbi
ham,0,rachelGreen @kbl
ham,0,KrishaPatel @kbl
ham,0,SohamKapoor @idbi
ham,0,AnviKapoor @okaxl
ham,0,vdty @okhdfc
ham,0,NehaThakur @okicici
ham,0,rjk @oksbi
ham,0,IshikaReddy @idbi
ham,0,KabirKumar @kbl
ham,0,AmairaSingh @okicici
ham,0,MyraSahu @okaxl
ham,0,AnayaMishra @oksbi
ham,0,ZaraThakur @okicici
ham,0,IshanSharma @okaxl
ham,0,ChaitanyaShah @okybl
ham,0,VihaanSharma @okybl
ham,0,KairaKapoor @okybl
ham,0,VivaanMehta @kbl
spam,1,ShreyaKhanna @idbi
ham,0,KrishaPatel @okicici
ham,0,PranavGupta @okybl
ham,0,YugKapoor @idbi
ham,0,rohnr @okybl
ham,0,DhruvMehta @okhdfc
ham,0,TrishaTiwari @idbi
ham,0,AvaniPatel @okybl
ham,0,RushilReddy @okicici
spam,1,AhaanSharma @okaxl
ham,0,AnviKapoor @okaxl
ham,0,DishaKhanna @okaxl
ham,0,VivaanMehta @okicici
spam,1,KritikaSingh @okaxl
ham,0,ShivanshKumar @idbi
ham,0,RachitVerma @idbi
spam,1,ShreyaKhanna @kbl
ham,0,RahulKumar @okhdfc
ham,0,IshitaChauhan @oksbi
ham,0,IshitaChauhan @okybl
ham,0,RitikaKapoor @okicici
ham,0,ZaraThakur @okhdfc
ham,0,KairaKapoor @kbl
spam,1,AbhinavGupta @okhdfc
ham,0,KrishaPatel @okaxl
ham,0,KrishaPatel @okybl
ham,0,KritikaSingh @okaxl
ham,0,PranavGupta @okicici
ham,0,ZoyaSingh @oksbi
ham,0,rachelGreen @oksbi
ham,0,AnayaMishra @okicici
ham,0,SuhaniYadav @idbi
ham,0,KritikaSingh @kbl
ham,0,RuhanBansal @idbi
ham,0,TrishaTiwari @oksbi
ham,0,SaanviMehta @oksbi
ham,0,AaravKumar @okhdfc
spam,1,SamarVerma @kbl
ham,0,happysng @okybl
spam,1,rahul @okicici
ham,0,rahul @okaxl
ham,0,happysng @oksbi
ham,0,IshikaReddy @kbl
ham,0,RitikaKapoor @idbi
ham,0,MyraSahu @okhdfc
ham,0,rjk @okybl
ham,0,rohnr @okicici
ham,0,IshitaChauhan @okicici
ham,0,PranavGupta @okhdfc
ham,0,AhaanSharma @oksbi
ham,0,RiaTiwari @okhdfc
ham,0,SohamKapoor @okhdfc
ham,0,AhaanSharma @kbl
spam,1,ShreyaKhanna @kbl
ham,0,SanyaJoshi @okicici
ham,0,IshanSharma @okhdfc
ham,0,AryaTiwari @okaxl
ham,0,AbhinavGupta @okicici
ham,0,DishaKhanna @okhdfc
ham,0,vdty @okicici
ham,0,rohnr @okaxl
spam,1,MyraSahu @kbl
spam,1,AaryanJain @okaxl
ham,0,AnayaMishra @okhdfc
ham,0,IshaniDesai @okaxl
ham,0,MohitJain @okaxl
ham,0,YashJoshi @kbl
ham,0,AnviKapoor @okhdfc
ham,0,RuhanBansal @idbi
ham,0,AmritaThakur @idbi
ham,0,SarthakGupta @kbl
spam,1,AhaanSharma @okaxl
spam,1,PranavGupta @okybl
ham,0,RuhanBansal @okicici
ham,0,happysng @okicici
ham,0,AryaTiwari @idbi
ham,0,AnikaYadav @okhdfc
ham,0,ShivanshKumar @okybl
ham,0,SnehaThakur @okhdfc
spam,1,VanyaAgarwal @oksbi
ham,0,rohnr @idbi
ham,0,AvaniPatel @okaxl
ham,0,AaravKumar @idbi
ham,0,ShreyaKhanna @okicici
ham,0,AarohiShah @okaxl
ham,0,KritikaSingh @okaxl
ham,0,ChaitanyaShah @okybl
ham,0,ChaitanyaShah @kbl
ham,0,AyushKumar @okybl
spam,1,AkshayVerma @kbl
ham,0,ChaitanyaShah @idbi
ham,0,SanyaJoshi @okhdfc
ham,0,vdty @okhdfc
spam,1,IshaniDesai @okhdfc
ham,0,AarohiShah @kbl
ham,0,vdty @idbi
ham,0,AbhinavGupta @okaxl
ham,0,RiaTiwari @oksbi
ham,0,AaryanJain @oksbi
ham,0,VanyaAgarwal @okybl
ham,0,AnikaYadav @idbi
ham,0,RahulKumar @okybl
ham,0,IshanSharma @okybl
ham,0,SaanviMehta @oksbi
ham,0,SohamKapoor @idbi
spam,1,RahulKumar @okaxl
ham,0,rachelGreen @okhdfc
ham,0,happysng @okybl
ham,0,RuhiMehra @okicici
ham,0,AvyaanBansal @okybl
ham,0,AhaanSharma @kbl
ham,0,IshanSharma @okybl
ham,0,DishaKhanna @oksbi
ham,0,YashJoshi @idbi
ham,0,AhaanSharma @kbl
ham,0,SanyaJoshi @oksbi
ham,0,SanyaJoshi @okybl
ham,0,DhruvMehta @oksbi
ham,0,ChaitanyaShah @okhdfc
spam,1,AmairaSingh @okybl
ham,0,IshikaReddy @okicici
ham,0,ShreyaKhanna @oksbi
spam,1,rjk @oksbi
ham,0,RiyaYadav @idbi
spam,1,SaanviMehta @okaxl
ham,0,IshanSharma @oksbi
spam,1,BhavyaJain @okhdfc
ham,0,KrishaPatel @okybl
spam,1,RitikaKapoor @oksbi
ham,0,MohitJain @okicici
ham,0,PrishaSharma @kbl
ham,0,PrishaSharma @okybl
ham,0,AdvikaMehta @okaxl
ham,0,AishaChoudhury @idbi
ham,0,KairaKapoor @kbl
ham,0,SuhaniYadav @oksbi
ham,0,AryanGupta @kbl
spam,1,AkshayVerma @okicici
ham,0,NehaThakur @kbl
ham,0,AaravKumar @idbi
ham,0,AarohiShah @kbl
ham,0,AkshayVerma @idbi
ham,0,RachitVerma @idbi
ham,0,RiyaYadav @okybl
ham,0,AvaniPatel @oksbi
ham,0,RiaTiwari @okhdfc
ham,0,AdvaitSingh @okybl
ham,0,SiyaShah @okybl
ham,0,AdvikaMehta @okicici
ham,0,SarthakGupta @okybl
ham,0,sunnysng @okybl
ham,0,rjk @okhdfc
ham,0,ZoyaSingh @idbi
ham,0,AaravKumar @oksbi
ham,0,VanyaAgarwal @kbl
ham,0,RiaTiwari @okicici
ham,0,PrishaSharma @okybl
ham,0,ZoyaSingh @idbi
ham,0,AarohiShah @okicici
spam,1,DishaKhanna @okaxl
ham,0,AmritaThakur @okicici
ham,0,SaanviMehta @oksbi
ham,0,VanyaAgarwal @oksbi
ham,0,rachelGreen @kbl
ham,0,AvaniPatel @oksbi
ham,0,RheaBhat @okybl
ham,0,AashviPatel @oksbi
spam,1,SuhaniYadav @oksbi
ham,0,AmairaSingh @okaxl
ham,0,SaanviMehta @oksbi
ham,0,AmitJoshi @okhdfc
ham,0,DishaKhanna @oksbi
ham,0,IshanSharma @kbl
ham,0,rahul @okhdfc
ham,0,AkshayVerma @okaxl
spam,1,AvyaanBansal @okhdfc
ham,0,AhaanSharma @okybl
ham,0,KrishaPatel @idbi
spam,1,RachitVerma @okaxl
ham,0,SanyaJoshi @idbi
ham,0,AishaChoudhury @okhdfc
ham,0,ShanayaPatel @kbl
ham,0,TrishaTiwari @idbi
ham,0,YugKapoor @okhdfc
ham,0,BhavyaJain @okhdfc
ham,0,sunnysng @idbi
ham,0,SarthakGupta @kbl
ham,0,rohnr @okicici
ham,0,MohitJain @idbi
ham,0,AvaniPatel @okhdfc
ham,0,SuhaniYadav @okybl
spam,1,AvyaanBansal @okhdfc
ham,0,RishaanSharma @okicici
ham,0,PrishaSharma @okybl
ham,0,SuhaniYadav @okybl
ham,0,SiyaShah @okybl
spam,1,AdvikaMehta @kbl
ham,0,AnviKapoor @okhdfc
ham,0,skylarShr @oksbi
ham,0,AaryanJain @okhdfc
ham,0,AarohiShah @okybl
ham,0,RuhiMehra @okicici
ham,0,AnviKapoor @okhdfc
ham,0,ShivanshKumar @oksbi
ham,0,SamarVerma @okaxl
ham,0,DivyaAgarwal @okhdfc
ham,0,RishaanSharma @okaxl
ham,0,AishaChoudhury @kbl
ham,0,KritikaSingh @oksbi
spam,1,AaravKumar @oksbi
ham,0,AryaTiwari @okicici
ham,0,rahul @okybl
ham,0,RiaTiwari @idbi
ham,0,AbhinavGupta @kbl
ham,0,happysng @okaxl
ham,0,AryanGupta @okhdfc
ham,0,SamarVerma @okaxl
ham,0,SwaraSingh @okicici
ham,0,ShreyaKhanna @okicici
spam,1,SamarVerma @okybl
ham,0,AvaniPatel @okybl
spam,1,RishaanSharma @kbl
spam,1,SanyaJoshi @idbi
ham,0,DivyaAgarwal @okicici
ham,0,DhruvMehta @okybl
ham,0,SohamKapoor @okaxl
ham,0,RuhiMehra @idbi
ham,0,AryanGupta @okaxl
ham,0,AmairaSingh @okaxl
spam,1,KabirKumar @okicici
ham,0,AkshayVerma @okicici
spam,1,AvaniPatel @okybl
ham,0,AnanyaBhat @okicici
spam,1,AishaChoudhury @okaxl
ham,0,vdty @idbi
spam,1,KairaKapoor @oksbi
ham,0,AbhinavGupta @idbi
ham,0,RuhanBansal @okaxl
ham,0,ChaitanyaShah @idbi
ham,0,TaraChoudhury @oksbi
ham,0,rohnr @idbi
ham,0,happysng @okaxl
ham,0,AyushKumar @okaxl
ham,0,NavyaVerma @okhdfc
ham,0,AyushKumar @oksbi
spam,1,KritikaSingh @okicici
ham,0,SohamKapoor @oksbi
ham,0,AnayaMishra @idbi
ham,0,IshitaChauhan @oksbi
ham,0,ZaraThakur @oksbi
ham,0,skylarShr @okicici
ham,0,KairaKapoor @kbl
ham,0,AarohiShah @idbi
ham,0,AryaTiwari @okaxl
ham,0,SohamKapoor @okybl
ham,0,VivaanMehta @okaxl
ham,0,AnviKapoor @okybl
ham,0,RushilReddy @okhdfc
ham,0,AaravKumar @idbi
ham,0,KrishaPatel @oksbi
ham,0,AbhinavGupta @okhdfc
ham,0,vdty @kbl
ham,0,RahulKumar @okaxl
ham,0,AvaniPatel @okybl
ham,0,ZoyaSingh @okaxl
ham,0,rachelGreen @okhdfc
ham,0,AnikaYadav @kbl
ham,0,SohamKapoor @kbl
spam,1,RuhiMehra @okybl
ham,0,DhruvMehta @okhdfc
ham,0,ZaraThakur @idbi
ham,0,RuhiMehra @okaxl
ham,0,AdvikaMehta @okaxl
ham,0,AaryanJain @oksbi
ham,0,MohitJain @okhdfc
ham,0,PrishaSharma @okaxl
ham,0,ArnavSingh @okybl
ham,0,AmritaThakur @okicici
ham,0,AbhinavGupta @okhdfc
ham,0,vdty @okaxl
spam,1,YashJoshi @okaxl
ham,0,DishaKhanna @okhdfc
ham,0,AdvikaMehta @okaxl
spam,1,YashJoshi @okybl
ham,0,SwaraSingh @okicici
ham,0,AnviKapoor @idbi
ham,0,YugKapoor @okybl
spam,1,AashviPatel @okhdfc
ham,0,IshanSharma @okicici
ham,0,IshikaReddy @oksbi
ham,0,AaravKumar @okicici
ham,0,MyraSahu @idbi
ham,0,IshitaChauhan @idbi
ham,0,AbhinavGupta @okaxl
ham,0,rahul @okaxl
spam,1,AmritaThakur @okhdfc
spam,1,RiyaYadav @okicici
spam,1,AnviKapoor @okybl
ham,0,DhruvMehta @idbi
ham,0,AmitJoshi @okicici
ham,0,KabirKumar @okybl
ham,0,AkshayVerma @okicici
spam,1,sunnysng @oksbi
ham,0,IshanSharma @okaxl
ham,0,happysng @okhdfc
ham,0,IshitaChauhan @okaxl
ham,0,AryanGupta @idbi
ham,0,AdvikaMehta @okhdfc
ham,0,MohitJain @oksbi
ham,0,SnehaThakur @okybl
ham,0,DivyaAgarwal @okicici
spam,1,AhaanSharma @okybl
ham,0,AdvikaMehta @okybl
ham,0,skylarShr @idbi
ham,0,DivyaAgarwal @okhdfc
spam,1,DivyaAgarwal @okicici
ham,0,RitikaKapoor @oksbi
ham,0,NehaThakur @okicici
ham,0,IshanSharma @oksbi
ham,0,MiraChoudhury @okybl
ham,0,rjk @oksbi
ham,0,AmairaSingh @okhdfc
ham,0,AnkitSharma @okybl
ham,0,AishaChoudhury @okicici
ham,0,DivyaAgarwal @kbl
ham,0,happysng @okaxl
ham,0,NavyaVerma @idbi
ham,0,RishaanSharma @kbl
ham,0,YugKapoor @okybl
ham,0,skylarShr @kbl
ham,0,ArnavSingh @idbi
ham,0,AnanyaBhat @kbl
ham,0,VivaanMehta @okicici
spam,1,AvyaanBansal @idbi
spam,1,ChaitanyaShah @okaxl
ham,0,DivyaAgarwal @idbi
ham,0,SanyaJoshi @kbl
ham,0,AkshayVerma @okhdfc
ham,0,sunnysng @kbl
spam,1,SohamKapoor @okaxl
ham,0,AyushKumar @okhdfc
ham,0,AdvaitSingh @okybl
ham,0,DhruvMehta @okhdfc
ham,0,MohitJain @okaxl
ham,0,RuhiMehra @idbi
ham,0,RitikaKapoor @kbl
ham,0,rahul @kbl
ham,0,rjk @okhdfc
ham,0,AaryanJain @okhdfc
ham,0,KrishaPatel @okybl
ham,0,IshanSharma @okaxl
ham,0,SiyaShah @okaxl
spam,1,PranavGupta @okicici
ham,0,KrishaPatel @oksbi
spam,1,IshikaReddy @okybl
ham,0,sunnysng @oksbi
ham,0,AishaChoudhury @okaxl
ham,0,AishaChoudhury @okicici
ham,0,AnanyaBhat @okhdfc
ham,0,AnayaMishra @okhdfc
ham,0,ShanayaPatel @okhdfc
ham,0,ChaitanyaShah @okaxl
ham,0,SiyaShah @kbl
ham,0,VanyaAgarwal @okaxl
spam,1,TrishaTiwari @oksbi
ham,0,RahulKumar @oksbi
ham,0,PrishaSharma @okicici
ham,0,AmritaThakur @okybl
ham,0,IshaniDesai @idbi
ham,0,KrishaPatel @idbi
ham,0,ShreyaKhanna @oksbi
ham,0,AkshayVerma @okhdfc
ham,0,RushilReddy @kbl
ham,0,AkshayVerma @idbi
ham,0,VihaanSharma @idbi
ham,0,IshaniDesai @okicici
spam,1,ArnavSingh @okhdfc
spam,1,KabirKumar @okicici
ham,0,RushilReddy @idbi
ham,0,AnikaYadav @kbl
ham,0,SanyaJoshi @okybl
ham,0,AnkitSharma @okaxl
ham,0,AvyaanBansal @idbi
ham,0,KabirKumar @okybl
ham,0,AashviPatel @okicici
ham,0,SamarVerma @okicici
ham,0,AhaanSharma @idbi
ham,0,ShreyaKhanna @okaxl
spam,1,YashJoshi @okhdfc
ham,0,AhaanSharma @okaxl
ham,0,ZaraThakur @oksbi
ham,0,skylarShr @oksbi
ham,0,rachelGreen @oksbi
ham,0,ZaraThakur @okaxl
spam,1,IshikaReddy @oksbi
ham,0,RuhanBansal @oksbi
ham,0,AdvaitSingh @okybl
ham,0,RishaanSharma @okicici
ham,0,RitikaKapoor @oksbi
ham,0,AishaChoudhury @kbl
ham,0,rjk @okaxl
ham,0,RiyaYadav @kbl
ham,0,rahul @okhdfc
ham,0,RushilReddy @oksbi
ham,0,AbhinavGupta @okaxl
ham,0,AaravKumar @okaxl
ham,0,ShivanshKumar @okicici
ham,0,MiraChoudhury @oksbi
ham,0,VivaanMehta @okybl
ham,0,AdvikaMehta @idbi
ham,0,NehaThakur @okybl
ham,0,AvaniPatel @okybl
ham,0,KairaKapoor @okhdfc
spam,1,RitikaKapoor @idbi
spam,1,AryaTiwari @okhdfc
ham,0,SamarVerma @okhdfc
ham,0,MyraSahu @okaxl
spam,1,SohamKapoor @okaxl
ham,0,AnanyaBhat @kbl
ham,0,SohamKapoor @idbi
ham,0,NehaThakur @kbl
spam,1,MiraChoudhury @kbl
ham,0,RahulKumar @okybl
spam,1,RahulKumar @okicici
ham,0,SuhaniYadav @okicici
ham,0,IshaniDesai @idbi
ham,0,ArnavSingh @okaxl
ham,0,RiyaYadav @idbi
ham,0,DishaKhanna @idbi
ham,0,RitikaKapoor @kbl
ham,0,AhaanSharma @oksbi
ham,0,AmritaThakur @okhdfc
ham,0,AarohiShah @idbi
ham,0,VihaanSharma @okhdfc
ham,0,AvyaanBansal @okhdfc
spam,1,VihaanSharma @kbl
ham,0,ZoyaSingh @okaxl
ham,0,AmairaSingh @okaxl
ham,0,IshikaReddy @oksbi
ham,0,AarohiShah @okaxl
ham,0,SarthakGupta @okicici
ham,0,AmairaSingh @idbi
spam,1,MyraSahu @okaxl
ham,0,rohnr @okicici
ham,0,SaanviMehta @okhdfc
ham,0,happysng @kbl
ham,0,AryanGupta @okybl
ham,0,SnehaThakur @okybl
ham,0,AkshayVerma @kbl
ham,0,KrishaPatel @oksbi
ham,0,ChaitanyaShah @okaxl
ham,0,AnikaYadav @oksbi
spam,1,DhruvMehta @kbl
ham,0,DishaKhanna @okicici
ham,0,AishaChoudhury @okaxl
spam,1,ZoyaSingh @idbi
spam,1,YugKapoor @oksbi
ham,0,ChaitanyaShah @okicici
ham,0,MiraChoudhury @idbi
ham,0,AarohiShah @kbl
ham,0,rohnr @okaxl
ham,0,VanyaAgarwal @oksbi
ham,0,IshikaReddy @okhdfc
ham,0,AmairaSingh @okybl
ham,0,AkshayVerma @idbi
spam,1,AmairaSingh @okhdfc
ham,0,AdvaitSingh @kbl
spam,1,ChaitanyaShah @okybl
ham,0,TrishaTiwari @okicici
ham,0,DishaKhanna @idbi
spam,1,rjk @okicici
ham,0,sunnysng @idbi
ham,0,KabirKumar @oksbi
ham,0,VihaanSharma @oksbi
ham,0,RitikaKapoor @okybl
ham,0,AdvaitSingh @kbl
ham,0,AnanyaBhat @kbl
ham,0,RuhanBansal @kbl
ham,0,ZoyaSingh @oksbi
ham,0,rohnr @idbi
ham,0,SaanviMehta @okhdfc
ham,0,AdvaitSingh @kbl
ham,0,ChaitanyaShah @kbl
ham,0,AkshayVerma @idbi
ham,0,AmairaSingh @okaxl
ham,0,skylarShr @okhdfc
ham,0,SohamKapoor @oksbi
ham,0,RushilReddy @oksbi
spam,1,RitikaKapoor @kbl
ham,0,AashviPatel @okicici
ham,0,AnkitSharma @okaxl
ham,0,ZoyaSingh @okicici
spam,1,ZaraThakur @okaxl
spam,1,BhavyaJain @okybl
ham,0,SuhaniYadav @okhdfc
ham,0,RuhiMehra @okhdfc
ham,0,SwaraSingh @kbl
ham,0,AaryanJain @okaxl
ham,0,AyushKumar @kbl
ham,0,KabirKumar @idbi
ham,0,AyushKumar @okicici
spam,1,AkshayVerma @okicici
ham,0,ZoyaSingh @idbi
ham,0,AyushKumar @okaxl
ham,0,rjk @okybl
spam,1,AnayaMishra @okaxl
ham,0,ChaitanyaShah @okaxl
spam,1,NavyaVerma @okhdfc
spam,1,KairaKapoor @kbl
ham,0,AnikaYadav @kbl
ham,0,BhavyaJain @okybl
ham,0,AnayaMishra @okaxl
ham,0,AmitJoshi @oksbi
